Current_State,Previous_State,Movers_Estimate
Hawaii,Ohio,674.0
Hawaii,Oklahoma,177.0
Hawaii,Oregon,1443.0
Hawaii,Pennsylvania,498.0
Hawaii,Rhode Island,59.0
Hawaii,South Carolina,820.0
Hawaii,South Dakota,99.0
Hawaii,Tennessee,968.0
Hawaii,Texas,3742.0
Hawaii,Utah,1884.0
Hawaii,Vermont,0.0
Hawaii,Virginia,3388.0
Hawaii,Washington,4092.0
Hawaii,West Virginia,0.0
Hawaii,Wisconsin,1149.0
Hawaii,Wyoming,58.0
Idaho,Alabama,380.0
Idaho,Alaska,1117.0
Idaho,Arizona,4026.0
Idaho,Arkansas,533.0
Idaho,California,17338.0
Idaho,Colorado,1851.0
Idaho,Connecticut,436.0
Idaho,Delaware,0.0
Idaho,District of Columbia,0.0
Idaho,Florida,921.0
Idaho,Georgia,78.0
Idaho,Hawaii,1089.0
Idaho,Illinois,571.0
Idaho,Indiana,830.0
Idaho,Iowa,479.0
Idaho,Kansas,1229.0
Idaho,Kentucky,434.0
Idaho,Louisiana,0.0
Idaho,Maine,43.0
Idaho,Maryland,111.0
Idaho,Massachusetts,260.0
Idaho,Michigan,404.0
Idaho,Minnesota,485.0
Idaho,Mississippi,136.0
Idaho,Missouri,349.0
Idaho,Montana,2754.0
Idaho,Nebraska,324.0
Idaho,Nevada,2025.0
Idaho,New Hampshire,0.0
Idaho,New Jersey,780.0
Idaho,New Mexico,1566.0
Idaho,New York,77.0
Idaho,North Carolina,1187.0
Idaho,North Dakota,256.0
Idaho,Ohio,703.0
Idaho,Oklahoma,670.0
Idaho,Oregon,7458.0
Idaho,Pennsylvania,394.0
Idaho,Rhode Island,113.0
Idaho,South Carolina,97.0
Idaho,South Dakota,388.0
Idaho,Tennessee,369.0
Idaho,Texas,5526.0
Idaho,Utah,5537.0
Idaho,Vermont,0.0
Idaho,Virginia,1290.0
Idaho,Washington,14655.0
Idaho,West Virginia,395.0
Idaho,Wisconsin,229.0
Idaho,Wyoming,1815.0
Illinois,Alabama,1375.0
Illinois,Alaska,30.0
Illinois,Arizona,4417.0
Illinois,Arkansas,2189.0
Illinois,California,16460.0
Illinois,Colorado,5827.0
Illinois,Connecticut,863.0
Illinois,Delaware,60.0
Illinois,District of Columbia,1790.0
Illinois,Florida,19100.0
Illinois,Georgia,4895.0
Illinois,Hawaii,1168.0
Illinois,Idaho,354.0
Illinois,Indiana,11555.0
Illinois,Iowa,8326.0
Illinois,Kansas,1468.0
Illinois,Kentucky,3162.0
Illinois,Louisiana,1497.0
Illinois,Maine,265.0
Illinois,Maryland,2512.0
Illinois,Massachusetts,1938.0
Illinois,Michigan,10345.0
Illinois,Minnesota,3641.0
Illinois,Mississippi,1894.0
Illinois,Missouri,14982.0
Illinois,Montana,224.0
Illinois,Nebraska,1229.0
Illinois,Nevada,2181.0
Illinois,New Hampshire,524.0
Illinois,New Jersey,2755.0
Illinois,New Mexico,1096.0
Illinois,New York,8394.0
Illinois,North Carolina,5531.0
Illinois,North Dakota,252.0
Illinois,Ohio,4914.0
Illinois,Oklahoma,2408.0
Illinois,Oregon,3381.0
Illinois,Pennsylvania,3394.0
Illinois,Rhode Island,170.0
Illinois,South Carolina,2084.0
Illinois,South Dakota,140.0
Illinois,Tennessee,4005.0
Illinois,Texas,15227.0
Illinois,Utah,1496.0
Illinois,Vermont,1057.0
Illinois,Virginia,4876.0
Illinois,Washington,3100.0
Illinois,West Virginia,968.0
Illinois,Wisconsin,14135.0
Illinois,Wyoming,104.0
Indiana,Alabama,2206.0
Indiana,Alaska,818.0
Indiana,Arizona,2123.0
Indiana,Arkansas,754.0
Indiana,California,7740.0
Indiana,Colorado,3164.0
Indiana,Connecticut,427.0
Indiana,Delaware,121.0
Indiana,District of Columbia,0.0
Indiana,Florida,14798.0
Indiana,Georgia,1606.0
Indiana,Hawaii,81.0
Indiana,Idaho,0.0
Indiana,Illinois,29426.0
Indiana,Iowa,854.0
Indiana,Kansas,701.0
Indiana,Kentucky,12257.0
Indiana,Louisiana,784.0
Indiana,Maine,24.0
Indiana,Maryland,668.0
Indiana,Massachusetts,1033.0
Indiana,Michigan,8137.0
Indiana,Minnesota,1579.0
Indiana,Mississippi,529.0
Indiana,Missouri,2691.0
Indiana,Montana,83.0
Indiana,Nebraska,7.0
Indiana,Nevada,1022.0
Indiana,New Hampshire,340.0
Indiana,New Jersey,2661.0
Indiana,New Mexico,974.0
Indiana,New York,8782.0
Indiana,North Carolina,2634.0
Indiana,North Dakota,353.0
Indiana,Ohio,12493.0
Indiana,Oklahoma,644.0
Indiana,Oregon,492.0
Indiana,Pennsylvania,3117.0
Indiana,Rhode Island,47.0
Indiana,South Carolina,1221.0
Indiana,South Dakota,338.0
Indiana,Tennessee,3310.0
Indiana,Texas,9485.0
Indiana,Utah,1804.0
Indiana,Vermont,86.0
Indiana,Virginia,4401.0
Indiana,Washington,1635.0
Indiana,West Virginia,461.0
Indiana,Wisconsin,1738.0
Indiana,Wyoming,0.0
Iowa,Alabama,130.0
Iowa,Alaska,209.0
Iowa,Arizona,3078.0
Iowa,Arkansas,114.0
Iowa,California,4406.0
Iowa,Colorado,3642.0
Iowa,Connecticut,33.0
Iowa,Delaware,168.0
Iowa,District of Columbia,186.0
Iowa,Florida,4186.0
Iowa,Georgia,965.0
Iowa,Hawaii,52.0
Iowa,Idaho,703.0
Iowa,Illinois,11780.0
Iowa,Indiana,678.0
Iowa,Kansas,2302.0
Iowa,Kentucky,448.0
Iowa,Louisiana,1605.0
Iowa,Maine,154.0
Iowa,Maryland,595.0
Iowa,Massachusetts,465.0
Iowa,Michigan,1496.0
Iowa,Minnesota,4755.0
Iowa,Mississippi,563.0
Iowa,Missouri,3238.0
Iowa,Montana,421.0
Iowa,Nebraska,7341.0
Iowa,Nevada,906.0
Iowa,New Hampshire,0.0
Iowa,New Jersey,169.0
Iowa,New Mexico,20.0
Iowa,New York,845.0
Iowa,North Carolina,1812.0
Iowa,North Dakota,99.0
Iowa,Ohio,409.0
Iowa,Oklahoma,630.0
Iowa,Oregon,460.0
